/home/matata/projet_iot/api/app.py:197: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt_client.Client(client_id=id_client, callback_api_version=mqtt_client.CallbackAPIVersion.VERSION1)
2025-05-29 15:37:27,178 - api_rest - INFO - Connecté au broker MQTT! ID client: api_rest_e6626c05
2025-05-29 15:37:27,178 - api_rest - INFO - Abonné au topic: iot/parking/#
2025-05-29 15:37:27,178 - api_rest - INFO - Abonné au topic: iot/batiments/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/wifi/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/meteo/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/transport/#
2025-05-29 15:37:27,179 - api_rest - INFO - Nettoyage des données anciennes effectué
2025-05-29 15:37:27,180 - api_rest - INFO - Démarrage de l'API REST sur 0.0.0.0:5000
2025-05-29 15:37:27,180 - werkzeug - WARNING - Werkzeug appears to be used in a production deployment. Consider switching to a production web server instead.
 * Serving Flask app 'app'
 * Debug mode: off
2025-05-29 15:37:27,186 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.3.133:5000
2025-05-29 15:37:50,437 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:50,472 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:50,475 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:50,491 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:50,511 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:50,555 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:50,573 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:50,591 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:50,621 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:50,625 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
